#TYPE System.Diagnostics.EventLogEntry#SysPerf/perf/2
"EventID","MachineName","Data","Index","Category","CategoryNumber","EntryType","Message","Source","ReplacementStrings","InstanceId","TimeGenerated","TimeWritten","UserName","Site","Container"
"2","Area51","System.Byte[]","12159","(1)","1","Information","@{freephysicalmemory=8312980; totalvisiblememorysize=16643532}","perf","System.String[]","2","7/21/2018 6:27:04 PM","7/21/2018 6:27:04 PM",,,
"1","Area51","System.Byte[]","12158","(1)","1","Information","
InstanceName          CPU    
------------          ---    
_total                787.46%
idle                  669.42%
cloud-drive-daemon    99.40% 
svchost               3.11%  
explorer              3.11%  
system                3.11%  
syntpenh              3.11%  
dwm                   1.55%  
tobii.service         1.55%  
rainmeter             1.55%  
killercontrolcenter   1.55%  
apagent               0.00%  
jhi_service           0.00%  
lms                   0.00%  
sgrmbroker            0.00%  
dllhost               0.00%  
alienfusionservice    0.00%  
cloudstation_explorer 0.00%  
caps_esc              0.00%  
settingsynchost       0.00%  


","perf","System.String[]","1","7/21/2018 6:27:04 PM","7/21/2018 6:27:04 PM",,,
"1","Area51","System.Byte[]","12157","(1)","1","Information","@{maxnumberofprocesses=4294967295; numberofprocesses=281; maxprocessmemorysize=137438953344; numberofusers=5}","perf","System.String[]","1","7/21/2018 6:27:04 PM","7/21/2018 6:27:04 PM",,,
"1","Area51","System.Byte[]","12156","(1)","1","Information","@{name=Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz; currentclockspeed=2800; currentvoltage=9; maxclockspeed=2801; numberofcores=4; numberoflogicalprocessors=8}","perf","System.String[]","1","7/21/2018 6:27:04 PM","7/21/2018 6:27:04 PM",,,
"1","Area51","System.Byte[]","12155","(1)","1","Information","
Average
-------
     16


","perf","System.String[]","1","7/21/2018 6:27:04 PM","7/21/2018 6:27:04 PM",,,
"2","Area51","System.Byte[]","12154","(1)","1","Information","@{freephysicalmemory=8437300; totalvisiblememorysize=16643532}","perf","System.String[]","2","7/21/2018 6:22:04 PM","7/21/2018 6:22:04 PM",,,
"1","Area51","System.Byte[]","12153","(1)","1","Information","
InstanceName            CPU    
------------            ---    
_total                  786.68%
idle                    671.86%
cloud-drive-daemon      99.30% 
syntpenh                7.76%  
explorer                1.55%  
anti_ransomware_service 1.55%  
excel                   1.55%  
tobii.service           1.55%  
dwm                     1.55%  
alienfusionservice      0.00%  
conhost                 0.00%  
conhost                 0.00%  
cloud-drive-ui          0.00%  
jhi_service             0.00%  
wlanext                 0.00%  
apagent                 0.00%  
caps_esc                0.00%  
cloudstation_explorer   0.00%  
rainmeter               0.00%  
settingsynchost         0.00%  


","perf","System.String[]","1","7/21/2018 6:22:04 PM","7/21/2018 6:22:04 PM",,,
"1","Area51","System.Byte[]","12152","(1)","1","Information","@{maxnumberofprocesses=4294967295; numberofprocesses=277; maxprocessmemorysize=137438953344; numberofusers=5}","perf","System.String[]","1","7/21/2018 6:22:04 PM","7/21/2018 6:22:04 PM",,,
"1","Area51","System.Byte[]","12151","(1)","1","Information","@{name=Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz; currentclockspeed=2800; currentvoltage=9; maxclockspeed=2801; numberofcores=4; numberoflogicalprocessors=8}","perf","System.String[]","1","7/21/2018 6:22:04 PM","7/21/2018 6:22:04 PM",,,
"1","Area51","System.Byte[]","12150","(1)","1","Information","
Average
-------
     30


","perf","System.String[]","1","7/21/2018 6:22:04 PM","7/21/2018 6:22:04 PM",,,
"2","Area51","System.Byte[]","12149","(1)","1","Information","@{freephysicalmemory=8460300; totalvisiblememorysize=16643532}","perf","System.String[]","2","7/21/2018 6:17:04 PM","7/21/2018 6:17:04 PM",,,
"1","Area51","System.Byte[]","12148","(1)","1","Information","
InstanceName          CPU    
------------          ---    
_total                794.46%
idle                  688.74%
cloud-drive-daemon    99.50% 
cloud-drive-ui        1.55%  
tobii.eyex.engine     1.55%  
tobii.service         1.55%  
system                1.55%  
svchost               1.55%  
cloud-drive-connect   0.00%  
jhi_service           0.00%  
conhost               0.00%  
alienfusionservice    0.00%  
conhost               0.00%  
conhost               0.00%  
apagent               0.00%  
ttcaltray             0.00%  
wlanext               0.00%  
cloudstation_explorer 0.00%  
rainmeter             0.00%  
settingsynchost       0.00%  


","perf","System.String[]","1","7/21/2018 6:17:04 PM","7/21/2018 6:17:04 PM",,,
"1","Area51","System.Byte[]","12147","(1)","1","Information","@{maxnumberofprocesses=4294967295; numberofprocesses=277; maxprocessmemorysize=137438953344; numberofusers=5}","perf","System.String[]","1","7/21/2018 6:17:04 PM","7/21/2018 6:17:04 PM",,,
"1","Area51","System.Byte[]","12146","(1)","1","Information","@{name=Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz; currentclockspeed=2800; currentvoltage=9; maxclockspeed=2801; numberofcores=4; numberoflogicalprocessors=8}","perf","System.String[]","1","7/21/2018 6:17:04 PM","7/21/2018 6:17:04 PM",,,
"1","Area51","System.Byte[]","12145","(1)","1","Information","
Average
-------
     15


","perf","System.String[]","1","7/21/2018 6:17:04 PM","7/21/2018 6:17:04 PM",,,
"2","Area51","System.Byte[]","12144","(1)","1","Information","@{freephysicalmemory=8337652; totalvisiblememorysize=16643532}","perf","System.String[]","2","7/21/2018 6:12:04 PM","7/21/2018 6:12:04 PM",,,
"1","Area51","System.Byte[]","12143","(1)","1","Information","
InstanceName        CPU    
------------        ---    
_total              792.86%
idle                687.35%
cloud-drive-daemon  99.30% 
system              3.10%  
killercontrolcenter 1.55%  
rainmeter           1.55%  
powershell          1.55%  
conhost             0.00%  
sgrmbroker          0.00%  
jhi_service         0.00%  
lms                 0.00%  
conhost             0.00%  
alienfusionservice  0.00%  
apagent             0.00%  
settingsynchost     0.00%  
wlanext             0.00%  
conhost             0.00%  
cloud-drive-ui      0.00%  
cloud-drive-connect 0.00%  
caps_esc            0.00%  


","perf","System.String[]","1","7/21/2018 6:12:04 PM","7/21/2018 6:12:04 PM",,,
"1","Area51","System.Byte[]","12142","(1)","1","Information","@{maxnumberofprocesses=4294967295; numberofprocesses=280; maxprocessmemorysize=137438953344; numberofusers=5}","perf","System.String[]","1","7/21/2018 6:12:04 PM","7/21/2018 6:12:04 PM",,,
"1","Area51","System.Byte[]","12141","(1)","1","Information","@{name=Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz; currentclockspeed=2800; currentvoltage=9; maxclockspeed=2801; numberofcores=4; numberoflogicalprocessors=8}","perf","System.String[]","1","7/21/2018 6:12:04 PM","7/21/2018 6:12:04 PM",,,
"1","Area51","System.Byte[]","12140","(1)","1","Information","
Average
-------
      4


","perf","System.String[]","1","7/21/2018 6:12:04 PM","7/21/2018 6:12:04 PM",,,
"2","Area51","System.Byte[]","12139","(1)","1","Information","@{freephysicalmemory=8431664; totalvisiblememorysize=16643532}","perf","System.String[]","2","7/21/2018 6:07:04 PM","7/21/2018 6:07:04 PM",,,
"1","Area51","System.Byte[]","12138","(1)","1","Information","
InstanceName        CPU    
------------        ---    
_total              803.79%
idle                698.07%
cloud-drive-daemon  99.50% 
dwm                 1.55%  
tobii.service       1.55%  
rainmeter           1.55%  
trueimagemonitor    1.55%  
system              1.55%  
runtimebroker       0.00%  
conhost             0.00%  
conhost             0.00%  
jhi_service         0.00%  
alienfusionservice  0.00%  
lms                 0.00%  
cloud-drive-connect 0.00%  
apagent             0.00%  
conhost             0.00%  
wlanext             0.00%  
settingsynchost     0.00%  
cloud-drive-ui      0.00%  


","perf","System.String[]","1","7/21/2018 6:07:04 PM","7/21/2018 6:07:04 PM",,,
"1","Area51","System.Byte[]","12137","(1)","1","Information","@{maxnumberofprocesses=4294967295; numberofprocesses=278; maxprocessmemorysize=137438953344; numberofusers=5}","perf","System.String[]","1","7/21/2018 6:07:04 PM","7/21/2018 6:07:04 PM",,,
"1","Area51","System.Byte[]","12136","(1)","1","Information","@{name=Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz; currentclockspeed=2800; currentvoltage=9; maxclockspeed=2801; numberofcores=4; numberoflogicalprocessors=8}","perf","System.String[]","1","7/21/2018 6:07:04 PM","7/21/2018 6:07:04 PM",,,
"1","Area51","System.Byte[]","12135","(1)","1","Information","
Average
-------
     10


","perf","System.String[]","1","7/21/2018 6:07:04 PM","7/21/2018 6:07:04 PM",,,
"2","Area51","System.Byte[]","12134","(1)","1","Information","@{freephysicalmemory=8453460; totalvisiblememorysize=16643532}","perf","System.String[]","2","7/21/2018 6:02:04 PM","7/21/2018 6:02:04 PM",,,
"1","Area51","System.Byte[]","12133","(1)","1","Information","
InstanceName        CPU    
------------        ---    
_total              799.37%
idle                657.75%
cloud-drive-daemon  100.71%
chrome              12.59% 
system              4.72%  
mms_mini            4.72%  
chrome              4.72%  
dwm                 3.15%  
tobii.service       3.15%  
rainmeter           1.57%  
schedul2            1.57%  
chrome              1.57%  
explorer            1.57%  
svchost             1.57%  
syntphelper         1.57%  
conhost             0.00%  
cloud-drive-connect 0.00%  
conhost             0.00%  
conhost             0.00%  
apagent             0.00%  


","perf","System.String[]","1","7/21/2018 6:02:04 PM","7/21/2018 6:02:04 PM",,,
"1","Area51","System.Byte[]","12132","(1)","1","Information","@{maxnumberofprocesses=4294967295; numberofprocesses=273; maxprocessmemorysize=137438953344; numberofusers=5}","perf","System.String[]","1","7/21/2018 6:02:04 PM","7/21/2018 6:02:04 PM",,,
"1","Area51","System.Byte[]","12131","(1)","1","Information","@{name=Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz; currentclockspeed=2800; currentvoltage=9; maxclockspeed=2801; numberofcores=4; numberoflogicalprocessors=8}","perf","System.String[]","1","7/21/2018 6:02:04 PM","7/21/2018 6:02:04 PM",,,
"1","Area51","System.Byte[]","12130","(1)","1","Information","
Average
-------
     13


","perf","System.String[]","1","7/21/2018 6:02:04 PM","7/21/2018 6:02:04 PM",,,
"2","Area51","System.Byte[]","12129","(1)","1","Information","@{freephysicalmemory=8669264; totalvisiblememorysize=16643532}","perf","System.String[]","2","7/21/2018 5:57:04 PM","7/21/2018 5:57:04 PM",,,
"1","Area51","System.Byte[]","12128","(1)","1","Information","
InstanceName       CPU    
------------       ---    
_total             787.47%
idle               597.98%
cloud-drive-daemon 73.00% 
msmpeng            65.23% 
syntpenh           9.32%  
ctfmon             9.32%  
mms_mini           6.21%  
cloud-drive-ui     6.21%  
dllhost            6.21%  
explorer           4.66%  
system             4.66%  
svchost            3.11%  
tobii.service      3.11%  
dwm                1.55%  
svchost            1.55%  
searchindexer      1.55%  
rainmeter          1.55%  
conhost            0.00%  
conhost            0.00%  
apagent            0.00%  


","perf","System.String[]","1","7/21/2018 5:57:04 PM","7/21/2018 5:57:04 PM",,,
"1","Area51","System.Byte[]","12127","(1)","1","Information","@{maxnumberofprocesses=4294967295; numberofprocesses=273; maxprocessmemorysize=137438953344; numberofusers=5}","perf","System.String[]","1","7/21/2018 5:57:04 PM","7/21/2018 5:57:04 PM",,,
"1","Area51","System.Byte[]","12126","(1)","1","Information","@{name=Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz; currentclockspeed=2800; currentvoltage=9; maxclockspeed=2801; numberofcores=4; numberoflogicalprocessors=8}","perf","System.String[]","1","7/21/2018 5:57:04 PM","7/21/2018 5:57:04 PM",,,
"1","Area51","System.Byte[]","12125","(1)","1","Information","
Average
-------
      8


","perf","System.String[]","1","7/21/2018 5:57:04 PM","7/21/2018 5:57:04 PM",,,
"2","Area51","System.Byte[]","12124","(1)","1","Information","@{freephysicalmemory=8424072; totalvisiblememorysize=16643532}","perf","System.String[]","2","7/21/2018 5:52:04 PM","7/21/2018 5:52:04 PM",,,
"1","Area51","System.Byte[]","12123","(1)","1","Information","
InstanceName          CPU    
------------          ---    
_total                804.32%
idle                  790.34%
mms_mini              6.21%  
tobii.eyex.engine     1.55%  
rainmeter             1.55%  
trueimagemonitor      1.55%  
cloud-drive-ui        1.55%  
conhost               1.55%  
dwm                   1.55%  
cloud-drive-connect   0.00%  
svchost               0.00%  
conhost               0.00%  
systemsettingsbroker  0.00%  
cloud-drive-daemon    0.00%  
conhost               0.00%  
cloudstation_explorer 0.00%  
wlanext               0.00%  
ttcaltray             0.00%  
applicationframehost  0.00%  
conhost               0.00%  


","perf","System.String[]","1","7/21/2018 5:52:04 PM","7/21/2018 5:52:04 PM",,,
